La vita in diretta;2018-04-5 15:15:00;2018-04-5 18:45:00;["vitaindiretta"]
Porta a Porta;2018-04-5 23:45:00;2018-04-6 01:20:00;["portaaporta", "porta a porta", "vespa"]
La vita in diretta;2018-04-6 15:15:00;2018-04-6 18:45:00;["vitaindiretta"]
Il sabato italiano;2018-04-7 16:45:00;2018-04-7 18:45:00;["sabatoitaliano", "sabato italiano"]
Ballando con le stelle;2018-04-7 20:35:00;2018-04-8 00:35:00;["ballando con le stelle", "ballandoconlestelle", "carlucci", "paolo belli", "selvaggia", "lucarelli"]
Domenica In;2018-04-8 14:00:00;2018-04-8 16:37:00;["domenicain", "domenica in", "parodi"]
Che tempo che fa;2018-04-8 20:35:00;2018-04-9 00:04:00;["fazio", "chetempochefa", "litizzetto", "saviano", "che tempo che fa"]
La vita in diretta;2018-04-9 15:15:00;2018-04-9 18:45:00;["vitaindiretta"]
Che fuori tempo che fa;2018-04-9 23:40:00;2018-04-10 00:50:00;["che fuori tempo che fa", "chefuoritempochefa", "chetempochefa"]
La vita in diretta;2018-04-10 15:15:00;2018-04-10 18:45:00;["vitaindiretta"]
Questo nostro amore 80;2018-04-10 21:25:00;2018-04-10 23:31:00;["qna80", "questonostroamore", "questo nostro amore", "amore 80"]
Porta a Porta;2018-04-10 23:35:00;2018-04-11 01:10:00;["portaaporta", "porta a porta", "vespa"]